id,name,type,calories,protein,fat,carbs,fiber,ingredients,tags,combined_text
28,Asan kandis kering,Sarapan,261.0,0.9,1.6,63.3,3.2,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
29,Asinan Bogor sayuran,Sarapan,98.0,3.9,2.6,14.8,1.5,['sayuran'],"['asin', 'sayuran', 'rendah lemak', 'rendah kalori']",sayuran asin sayuran rendah lemak rendah kalori
30,Ayam,Makan Siang,302.0,18.2,25.0,0.0,0.0,"['bumbu', 'ayam']","['daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam daging protein tinggi tinggi lemak rendah karbo
31,Ayam  goreng Kentuckysayap,Sarapan,297.0,35.9,15.2,1.6,0.5,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam goreng daging protein tinggi tinggi lemak rendah karbo
32,Ayam ampela goreng,Sarapan,270.0,32.3,11.2,9.9,0.5,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo']",bumbu ayam goreng daging protein tinggi rendah karbo
33,Ayam dideh/darah segar,Sarapan,75.0,13.8,1.9,0.7,0.3,"['bumbu', 'ayam']","['daging', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bumbu ayam daging rendah lemak rendah karbo rendah kalori
34,Ayam goreng church texa sayap,Sarapan,295.0,34.0,16.0,1.5,0.5,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam goreng daging protein tinggi tinggi lemak rendah karbo
35,Ayam goreng church texas dada,Makan Siang,338.0,35.2,20.6,0.4,0.2,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam goreng daging protein tinggi tinggi lemak rendah karbo
36,Ayam goreng kalasan paha,Sarapan,275.0,37.4,12.2,1.3,0.5,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo']",bumbu ayam goreng daging protein tinggi rendah karbo
37,Ayam goreng kentucky dada,Sarapan,298.0,34.2,16.8,0.1,0.0,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam goreng daging protein tinggi tinggi lemak rendah karbo
38,Ayam goreng Kentucky paha,Sarapan,286.0,32.1,16.1,1.1,0.4,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam goreng daging protein tinggi tinggi lemak rendah karbo
39,Ayam goreng mbok berek dada,Sarapan,295.0,39.2,13.6,1.0,0.4,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo']",bumbu ayam goreng daging protein tinggi rendah karbo
40,Ayam goreng paha,Sarapan,287.0,31.0,15.7,1.7,0.5,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam goreng daging protein tinggi tinggi lemak rendah karbo
41,Ayam goreng pasundan dada,Sarapan,246.0,37.9,9.0,0.7,0.3,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo', 'sunda', 'tradisional']",bumbu ayam goreng daging protein tinggi rendah karbo sunda tradisional
42,Ayam goreng pasundan paha,Sarapan,245.0,33.1,11.4,0.3,0.1,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo', 'sunda', 'tradisional']",bumbu ayam goreng daging protein tinggi rendah karbo sunda tradisional
43,Ayam goreng pioneer dada,Sarapan,295.0,37.4,14.7,0.6,0.2,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo']",bumbu ayam goreng daging protein tinggi rendah karbo
44,Ayam goreng sukabumi dada,Sarapan,244.0,36.7,9.2,1.0,0.4,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo']",bumbu ayam goreng daging protein tinggi rendah karbo
45,Ayam goreng sukabumi paha,Sarapan,283.0,35.7,14.3,0.5,0.2,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'rendah karbo']",bumbu ayam goreng daging protein tinggi rendah karbo
46,Ayam hati segar,Sarapan,261.0,27.4,16.1,1.6,0.5,"['bumbu', 'ayam']","['daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam daging protein tinggi tinggi lemak rendah karbo
47,Ayam taliwang masakan,Sarapan,264.0,18.2,20.1,2.7,0.5,"['bumbu', 'ayam']","['daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu ayam daging protein tinggi tinggi lemak rendah karbo
48,Ayam usus goreng,Makan Siang,473.0,45.2,26.3,13.9,0.7,"['bumbu', 'ayam']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'tinggi kalori']",bumbu ayam goreng daging protein tinggi tinggi lemak tinggi kalori
49,Babat,Sarapan,113.0,17.6,4.2,0.0,0.0,"['bahan utama', 'bumbu']","['protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu protein tinggi rendah lemak rendah karbo rendah kalori
50,Babi daging gemuk segar,Makan Siang,453.0,11.9,45.0,0.0,0.0,"['babi', 'bumbu']","['daging', 'tinggi lemak', 'rendah karbo', 'tinggi kalori']",babi bumbu daging tinggi lemak rendah karbo tinggi kalori
51,Babi daging kurus segar,Makan Siang,371.0,14.1,35.0,0.0,0.0,"['babi', 'bumbu']","['daging', 'tinggi lemak', 'rendah karbo']",babi bumbu daging tinggi lemak rendah karbo
52,Babi ginjal segar,Sarapan,110.0,16.3,4.6,0.8,0.3,"['babi', 'bumbu']","['protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",babi bumbu protein tinggi rendah lemak rendah karbo rendah kalori
53,Babi hati segar,Sarapan,129.0,19.7,4.8,1.7,0.5,"['babi', 'bumbu']","['protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",babi bumbu protein tinggi rendah lemak rendah karbo rendah kalori
54,Babi hutan masak rica masakan,Makan Siang,491.0,24.6,16.3,0.2,0.1,"['babi', 'bumbu']","['pedas', 'protein tinggi', 'tinggi lemak', 'rendah karbo', 'tinggi kalori']",babi bumbu pedas protein tinggi tinggi lemak rendah karbo tinggi kalori
55,Bacang,Sarapan,102.9,3.3,2.7,16.3,0.8,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
56,Bagea kelapa asin,Makan Siang,450.0,3.2,13.9,78.1,3.9,"['bahan utama', 'bumbu']","['asin', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu asin tinggi karbo tinggi kalori
57,Bagea kelapa manis,Makan Siang,452.0,1.3,13.8,80.6,4.0,"['bahan utama', 'bumbu']","['manis', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu manis tinggi karbo tinggi kalori
58,Bagea kenari asin,Makan Siang,529.0,3.2,29.1,63.6,3.2,"['bahan utama', 'bumbu']","['asin', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu asin tinggi lemak tinggi karbo tinggi kalori
59,Bagea kenari manis,Makan Siang,523.0,3.2,28.2,64.2,3.2,"['bahan utama', 'bumbu']","['manis', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu manis tinggi lemak tinggi karbo tinggi kalori
60,Bagea kw 1,Makan Siang,416.0,6.5,9.4,76.3,3.8,"['bahan utama', 'bumbu']","['tinggi karbo', 'tinggi kalori']",bahan utama bumbu tinggi karbo tinggi kalori
61,Bagea kw 2,Makan Siang,382.0,0.3,3.5,87.2,4.4,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
62,Baje,Sarapan,129.0,1.9,6.6,15.6,0.8,"['bahan utama', 'bumbu']",['rendah kalori'],bahan utama bumbu rendah kalori
63,Bakpia kue,Sarapan,272.0,8.7,6.7,44.1,2.2,"['bahan utama', 'bumbu']","['camilan', 'tinggi karbo']",bahan utama bumbu camilan tinggi karbo
64,Bakso ,Sarapan,76.0,4.1,2.5,9.2,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori', 'tradisional']",bahan utama bumbu rendah lemak rendah karbo rendah kalori tradisional
65,Bakung segar,Sarapan,27.0,2.0,0.2,4.2,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
66,Bakwan,Sarapan,280.0,8.2,10.2,39.0,2.0,"['bahan utama', 'bumbu']",['tinggi karbo'],bahan utama bumbu tinggi karbo
67,Baligo,Sarapan,13.0,0.4,0.2,3.0,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori', 'bali', 'tradisional']",bahan utama bumbu rendah lemak rendah karbo rendah kalori bali tradisional
68,Bantal,Sarapan,190.0,3.3,0.3,43.5,2.2,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
69,Barongko,Sarapan,159.0,3.1,5.8,23.5,1.2,"['bahan utama', 'bumbu']",['rendah kalori'],bahan utama bumbu rendah kalori
70,Batang Tading,Sarapan,137.0,4.3,4.8,19.1,1.0,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
71,Batar daan,Sarapan,107.0,2.2,2.2,19.6,1.0,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
72,Batatas gembili segar,Sarapan,76.0,1.1,0.9,16.0,0.8,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
73,Batatas kelapa ubi bakar,Sarapan,110.0,1.4,1.1,23.4,1.2,"['bahan utama', 'bumbu']","['bakar', 'rendah lemak', 'rendah kalori']",bahan utama bumbu bakar rendah lemak rendah kalori
74,Batatas kelapa ubi kukus,Sarapan,92.0,1.2,0.3,21.0,1.1,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'rendah kalori']",bahan utama bumbu kukus rendah lemak rendah kalori
75,Batatas kelapa ubi segar,Sarapan,89.0,1.1,0.1,21.0,1.1,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
76,Batatas tali ubi rebus,Sarapan,182.0,2.4,0.4,42.2,2.1,"['bahan utama', 'bumbu']","['rebus', 'rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rebus rendah lemak tinggi karbo rendah kalori
77,Bawang Bombay,Sarapan,45.0,1.4,0.2,10.3,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
78,Bawang Merah,Sarapan,39.0,1.5,0.3,0.2,0.1,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
79,Bawang Putih,Sarapan,95.0,4.5,0.2,23.1,1.2,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
80,Bayam kukus,Sarapan,30.0,1.3,0.7,5.8,0.6,"['bayam', 'bumbu', 'ayam']","['kukus', 'daging', 'sayuran', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bayam bumbu ayam kukus daging sayuran rendah lemak rendah karbo rendah kalori
81,Bayam Merah,Sarapan,51.0,4.6,0.5,10.0,1.0,"['bayam', 'bumbu', 'ayam']","['daging', 'sayuran', 'rendah lemak', 'rendah kalori']",bayam bumbu ayam daging sayuran rendah lemak rendah kalori
82,Bayam merah segar,Sarapan,41.0,2.2,0.8,6.3,0.6,"['bayam', 'bumbu', 'ayam']","['daging', 'sayuran', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bayam bumbu ayam daging sayuran rendah lemak rendah karbo rendah kalori
83,Bayam rebus,Sarapan,23.0,1.2,0.6,3.7,0.5,"['bayam', 'bumbu', 'ayam']","['rebus', 'daging', 'sayuran', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bayam bumbu ayam rebus daging sayuran rendah lemak rendah karbo rendah kalori
84,Bayam segar,Sarapan,36.0,3.5,0.5,6.5,0.7,"['bayam', 'bumbu', 'ayam']","['daging', 'sayuran', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bayam bumbu ayam daging sayuran rendah lemak rendah karbo rendah kalori
85,Bayam tumis + oncom,Sarapan,102.0,3.7,6.7,6.9,0.7,"['bayam', 'bumbu', 'ayam']","['tumis', 'daging', 'sayuran', 'rendah karbo', 'rendah kalori']",bayam bumbu ayam tumis daging sayuran rendah karbo rendah kalori
86,Bayam tumis bersantan,Sarapan,48.0,1.4,4.2,2.6,0.5,"['bayam', 'bumbu', 'ayam']","['tumis', 'daging', 'sayuran', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bayam bumbu ayam tumis daging sayuran rendah lemak rendah karbo rendah kalori
87,Bebek (itik),Makan Malam,326.0,16.0,28.6,0.0,0.0,"['bumbu', 'bebek']","['protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu bebek protein tinggi tinggi lemak rendah karbo
88,Bebek alabio daging segar,Makan Malam,303.0,11.3,27.0,3.7,0.5,"['bumbu', 'bebek']","['daging', 'tinggi lemak', 'rendah karbo']",bumbu bebek daging tinggi lemak rendah karbo
89,Bebek daging goreng,Makan Malam,300.0,24.0,20.7,4.5,0.5,"['bumbu', 'bebek']","['goreng', 'daging', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu bebek goreng daging protein tinggi tinggi lemak rendah karbo
90,Beberuk,Sarapan,65.0,1.1,5.2,3.5,0.5,"['bahan utama', 'bumbu']","['rendah karbo', 'rendah kalori']",bahan utama bumbu rendah karbo rendah kalori
91,Beef burger,Sarapan,258.0,10.6,9.5,32.5,1.6,"['bahan utama', 'bumbu']",['tinggi karbo'],bahan utama bumbu tinggi karbo
92,Beef teriyaki masakan,Sarapan,151.0,8.6,3.1,22.3,1.1,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
93,Beef yakiniku masakan,Sarapan,132.0,9.8,1.1,20.7,1.0,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
94,Bekasam,Sarapan,116.0,11.9,4.9,6.1,0.5,"['bahan utama', 'bumbu']","['asam', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu asam rendah lemak rendah karbo rendah kalori
95,Bekasang,Sarapan,78.0,11.4,2.0,3.6,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
96,Belibis daging segar,Sarapan,131.0,20.2,4.3,2.8,0.5,"['bahan utama', 'bumbu']","['daging', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu daging protein tinggi rendah lemak rendah karbo rendah kalori
97,Belimbing,Sarapan,36.0,0.4,0.4,8.8,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
98,Belitung talas kukus,Sarapan,145.0,1.2,0.4,34.2,1.7,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu kukus rendah lemak tinggi karbo rendah kalori
99,Belut goreng,Makan Siang,417.0,25.9,19.4,32.0,1.6,"['bahan utama', 'bumbu']","['goreng', 'protein tinggi', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu goreng protein tinggi tinggi lemak tinggi karbo tinggi kalori
100,Belut segar,Sarapan,70.0,14.6,0.8,1.0,0.4,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
101,Belutlaut segar,Sarapan,93.0,12.8,1.5,6.1,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
102,Bengkuang,Sarapan,55.0,1.4,0.2,12.8,0.6,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
103,Bentul (Komba)  talas segar,Sarapan,98.0,1.6,0.7,20.9,1.0,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
104,Bentul talas kukus,Sarapan,71.0,2.3,0.3,15.4,0.8,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'rendah kalori']",bahan utama bumbu kukus rendah lemak rendah kalori
105,Beras Cerdas,Makan Siang,350.0,2.7,1.1,82.3,4.1,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
106,Beras ganyong,Makan Siang,364.0,3.4,0.7,86.3,4.3,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
107,Beras Giling,Makan Siang,360.0,6.8,0.7,78.9,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
108,Beras Giling masak (nasi) ,Sarapan,178.0,2.1,0.1,40.6,2.0,['beras'],"['rendah lemak', 'tinggi karbo', 'rendah kalori']",beras rendah lemak tinggi karbo rendah kalori
109,Beras giling mentah,Makan Siang,357.0,8.4,1.7,77.1,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
110,Beras giling var pelita mentah,Makan Siang,369.0,9.5,1.4,77.1,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
111,Beras giling var rojolele mentah,Makan Siang,357.0,8.4,1.7,77.1,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
112,Beras hitam mentah,Makan Siang,351.0,8.0,1.3,76.9,3.8,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
113,Beras jagung kuning kering mentah,Makan Siang,358.0,5.5,0.1,82.7,4.1,['jagung'],"['rendah lemak', 'tinggi karbo']",jagung rendah lemak tinggi karbo
114,Beras jagung putih kering mentah,Makan Siang,307.0,4.8,0.1,71.8,3.6,['jagung'],"['rendah lemak', 'tinggi karbo']",jagung rendah lemak tinggi karbo
115,Beras Ketan Hitam,Makan Siang,356.0,7.0,0.7,78.0,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
116,Beras Ketan Hitam kukus,Sarapan,181.0,4.0,1.2,37.3,1.9,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu kukus rendah lemak tinggi karbo rendah kalori
117,Beras Ketan Hitam tape,Sarapan,166.0,3.8,1.0,34.4,1.7,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
118,Beras Ketan Hitam tumbuk,Makan Siang,360.0,8.0,2.3,74.5,3.7,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
119,Beras ketan hitam tumbuk mentah,Makan Siang,360.0,8.0,2.3,74.5,3.7,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
120,Beras Ketan Putih,Makan Siang,362.0,6.7,0.7,79.4,4.0,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
121,Beras Ketan Putih kukus,Sarapan,163.0,3.0,0.4,35.7,1.8,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu kukus rendah lemak tinggi karbo rendah kalori
122,Beras Ketan Putih tape,Sarapan,172.0,3.0,0.5,37.5,1.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
123,Beras Ketan Putih tumbuk,Makan Siang,361.0,7.4,0.8,78.4,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
124,Beras ketan putih tumbuk mentah,Makan Siang,361.0,7.4,0.8,78.4,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
125,Beras ladang mentah,Makan Siang,376.0,7.5,3.8,78.0,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
126,Beras Menir,Makan Siang,339.0,7.7,4.4,73.0,3.7,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
127,Beras menir mentah,Makan Siang,362.0,7.7,4.4,73.0,3.7,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
128,Beras Merah tumbuk,Makan Siang,359.0,7.5,0.9,77.6,3.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
129,Beras Parboiled,Makan Siang,364.0,6.8,0.6,80.1,4.0,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
130,Beras parboiled,Makan Siang,353.0,6.8,0.6,80.0,4.0,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
131,Beras Pecah Kulit,Makan Siang,335.0,7.4,1.9,76.2,3.8,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
